"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV3165","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA,NA
"ASV3206","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfoconvexum",NA,NA
"ASV3209","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured_bacterium",NA,NA
"ASV3211","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Verruc-01",NA,NA
"ASV3227","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter",NA,NA
"ASV3236","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","uncultured",NA,NA
"ASV3244","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas",NA,NA
"ASV3247","Bacteria","Acidobacteria","Aminicenantia","Aminicenantales","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3256","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",NA,NA
"ASV3259","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio",NA,NA
"ASV3268","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Zunongwangia",NA,NA
"ASV3269","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,NA
"ASV3271","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","uncultured",NA,NA
"ASV3279","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria",NA,NA
"ASV3280","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","uncultured",NA,NA
"ASV3282","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587",NA,NA
"ASV3283","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Pelagibius",NA,NA
"ASV3292","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","uncultured",NA,NA
"ASV3297","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA,NA
"ASV3299","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","uncultured_marine_bacterium","uncultured_marine_bacterium",NA,NA
"ASV3330","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingosinicella",NA,NA
"ASV3331","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured_bacterium",NA,NA
"ASV3332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA,NA
"ASV3333","Bacteria","Latescibacteria","uncultured_sediment_bacterium","uncultured_sediment_bacterium","uncultured_sediment_bacterium","uncultured_sediment_bacterium",NA,NA
"ASV3359","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3366","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA,NA
"ASV3370","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","uncultured_Sphingobacteriia_bacterium",NA,NA
"ASV3379","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3380","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured_Bacteroidetes_bacterium",NA,NA
"ASV3383","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured_alpha_proteobacterium","uncultured_alpha_proteobacterium",NA,NA
"ASV3386","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Carboxylicivirga",NA,NA
"ASV3391","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","uncultured",NA,NA
"ASV3394","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",NA,NA
"ASV3429","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3434","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Ferrimonas",NA,NA
"ASV3447","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured_gamma_proteobacterium",NA,NA
"ASV3456","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus",NA,NA
"ASV3457","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Thiogranum",NA,NA
"ASV3465","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA,NA
"ASV3478","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae","Desulfatiglans",NA,NA
"ASV3486","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidetes_VC2.1_Bac22","uncultured_sediment_bacterium","uncultured_sediment_bacterium",NA,NA
"ASV3490","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,NA
"ASV3493","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Xenococcaceae","Pleurocapsa_PCC-7319",NA,NA
"ASV3497","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus",NA,NA
"ASV3510","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella",NA,NA
"ASV3513","Bacteria","Chloroflexi","KD4-96","uncultured_soil_bacterium","uncultured_soil_bacterium","uncultured_soil_bacterium",NA,NA
"ASV3531","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus",NA,NA
"ASV3533","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Blastocatella",NA,NA
"ASV3534","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,NA
"ASV3538","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Cellulophaga",NA,NA
"ASV3543","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","uncultured_soil_bacterium",NA,NA
"ASV3546","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured",NA,NA
"ASV3555","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio",NA,NA
"ASV3562","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Sediminicola",NA,NA
"ASV3571","Bacteria","Actinobacteria","WCHB1-81","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3586","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,NA
"ASV3597","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured",NA,NA
"ASV3627","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","unidentified_proteobacterium","unidentified_proteobacterium",NA,NA
"ASV3638","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera",NA,NA
"ASV3641","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","PAUC26f",NA,NA
"ASV3647","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",NA,NA
"ASV3663","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",NA,NA
"ASV3666","Bacteria","Planctomycetes","BD7-11","uncultured_bacterium","uncultured_bacterium","uncultured_bacterium",NA,NA
"ASV3693","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",NA,NA
"ASV3696","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Kyrtuthrix_C708",NA,NA
"ASV3702","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Psychroflexus",NA,NA
